○ Video  --vid=1  (h264 1024x576 30 fps 3134 kbps) [default]
○ Video  --vid=2  (h264 1280x720 30 fps 4953 kbps) [default]
○ Video  --vid=3  (h264 1920x1080 30 fps 9915 kbps) [default]
○ Video  --vid=4  (h264 320x180 30 fps 254 kbps) [default]
○ Video  --vid=5  (h264 320x180 30 fps 507 kbps) [default]
○ Video  --vid=6  (h264 480x270 30 fps 760 kbps) [default]
● Video  --vid=7  (h264 640x360 30 fps 1255 kbps) [default]
○ Video  --vid=8  (h264 640x360 30 fps 1013 kbps) [default]
○ Video  --vid=9  (h264 768x432 30 fps 1884 kbps) [default]
○ Video  --vid=10 (h264 3840x2160 30 fps 14932 kbps) [default]
○ Audio  --aid=1  (aac 2ch 48000 Hz 65 kbps) [default]
VO: [wlshm] 640x360 yuv420p
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=32 cache=11.5333
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=33 cache=11.5
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=33 cache=11.4667
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=33 cache=11.4333
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=34 cache=11.4
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=34 cache=11.3667
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=34 cache=11.3333
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=34 cache=11.3
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=34 cache=11.2667
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=35 cache=11.2333
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=35 cache=11.2
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=35 cache=11.1667
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=36 cache=11.1333
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=36 cache=11.7
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=37 cache=12.8
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=38 cache=13.5667
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=38 cache=14.7667
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=38 cache=14.9667
pos=00:00:32 fps=30 decoder_drop=0 vo_drop=39 cache=14.9333
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=40 cache=14.9
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=41 cache=14.8667
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=41 cache=14.8333
pos=00:00:33 fps=30 decoder_drop=0 vo_drop=41 cache=14.8
